filepath,cluster_id
data/corel1k/africans/0.jpg,2
data/corel1k/africans/1.jpg,2
data/corel1k/africans/10.jpg,2
data/corel1k/africans/11.jpg,2
data/corel1k/africans/12.jpg,0
data/corel1k/africans/13.jpg,2
data/corel1k/africans/14.jpg,2
data/corel1k/africans/15.jpg,2
data/corel1k/africans/16.jpg,0
data/corel1k/africans/17.jpg,0
data/corel1k/africans/18.jpg,0
data/corel1k/africans/19.jpg,2
data/corel1k/africans/2.jpg,2
data/corel1k/africans/20.jpg,7
data/corel1k/africans/21.jpg,2
data/corel1k/africans/22.jpg,2
data/corel1k/africans/23.jpg,8
data/corel1k/africans/24.jpg,0
data/corel1k/africans/25.jpg,5
data/corel1k/africans/26.jpg,2
data/corel1k/africans/27.jpg,2
data/corel1k/africans/28.jpg,2
data/corel1k/africans/29.jpg,0
data/corel1k/africans/3.jpg,2
data/corel1k/africans/30.jpg,0
data/corel1k/africans/31.jpg,2
data/corel1k/africans/32.jpg,0
data/corel1k/africans/33.jpg,8
data/corel1k/africans/34.jpg,3
data/corel1k/africans/35.jpg,0
data/corel1k/africans/36.jpg,2
data/corel1k/africans/37.jpg,2
data/corel1k/africans/38.jpg,0
data/corel1k/africans/39.jpg,5
data/corel1k/africans/4.jpg,4
data/corel1k/africans/40.jpg,0
data/corel1k/africans/41.jpg,5
data/corel1k/africans/42.jpg,0
data/corel1k/africans/43.jpg,7
data/corel1k/africans/44.jpg,5
data/corel1k/africans/45.jpg,9
data/corel1k/africans/46.jpg,9
data/corel1k/africans/47.jpg,2
data/corel1k/africans/48.jpg,0
data/corel1k/africans/49.jpg,0
data/corel1k/africans/5.jpg,2
data/corel1k/africans/50.jpg,2
data/corel1k/africans/51.jpg,0
data/corel1k/africans/52.jpg,2
data/corel1k/africans/53.jpg,2
data/corel1k/africans/54.jpg,2
data/corel1k/africans/55.jpg,0
data/corel1k/africans/56.jpg,2
data/corel1k/africans/57.jpg,0
data/corel1k/africans/58.jpg,2
data/corel1k/africans/59.jpg,2
data/corel1k/africans/6.jpg,0
data/corel1k/africans/60.jpg,0
data/corel1k/africans/61.jpg,2
data/corel1k/africans/62.jpg,0
data/corel1k/africans/63.jpg,8
data/corel1k/africans/64.jpg,2
data/corel1k/africans/65.jpg,8
data/corel1k/africans/66.jpg,0
data/corel1k/africans/67.jpg,0
data/corel1k/africans/68.jpg,0
data/corel1k/africans/69.jpg,4
data/corel1k/africans/7.jpg,0
data/corel1k/africans/70.jpg,3
data/corel1k/africans/71.jpg,7
data/corel1k/africans/72.jpg,0
data/corel1k/africans/73.jpg,7
data/corel1k/africans/74.jpg,3
data/corel1k/africans/75.jpg,2
data/corel1k/africans/76.jpg,0
data/corel1k/africans/77.jpg,2
